,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,GLASS
0,1328,119,5,5,10,8049,P,1933,1919 - 1945,2.5
2,915,95,1,4,11,8050,P,1933,1919 - 1945,2.0
5,1658,160,6,5,9,8047,P,1941,1919 - 1945,11.36
7,579,80,1,4,9,8048,M,1937,1919 - 1945,3.0
12,876,113,5,4,7,8053,P,1965,1961 - 1970,11.5
13,589,76,2,4,7,8053,P,1965,1961 - 1970,7.73
15,619,72,3,4,11,8050,P,1929,1919 - 1945,0.72
16,936,103,3,4,11,8050,P,1929,1919 - 1945,1.06
18,1957,224,8,5,11,8052,F,1961,1961 - 1970,1.75
19,1520,154,3,5,9,8048,M,1929,1919 - 1945,5.0
27,351,51,1,4,9,8048,P,1947,1946 - 1960,0.92
28,381,50,1,4,9,8048,P,1947,1946 - 1960,1.0
29,2386,216,12,5,3,8003,P,1938,1919 - 1945,4.0
31,2006,183,7,6,7,8032,P,1945,1919 - 1945,2.9
33,2681,245,6,5,7,8032,P,1945,1919 - 1945,3.87
79,2707,224,6,4,3,8055,F,1968,1961 - 1970,4.0
85,1811,189,3,5,6,8057,F,1931,1919 - 1945,5.82
102,543,70,1,4,11,8050,P,1926,1919 - 1945,0.5
106,493,110,1,3,9,8048,P,1943,1919 - 1945,1.92
107,2000,205,9,5,3,8055,P,1960,1946 - 1960,9.05
108,2099,204,9,5,3,8055,P,1960,1946 - 1960,9.5
109,2223,203,9,5,3,8055,P,1960,1946 - 1960,10.06
111,1866,174,9,5,3,8055,P,1960,1946 - 1960,8.45
112,1796,174,9,5,3,8055,P,1960,1946 - 1960,8.13
113,850,123,1,4,7,8053,P,1937,1919 - 1945,0.03
114,3250,183,10,7,4,8004,P,1931,1919 - 1945,5.93
115,3800,201,8,6,4,8004,P,1931,1919 - 1945,6.93
116,2420,168,8,6,4,8004,P,1931,1919 - 1945,4.42
117,2590,181,8,6,4,8004,P,1931,1919 - 1945,4.73
118,2420,168,8,6,4,8004,P,1931,1919 - 1945,4.42
119,2490,168,8,6,4,8004,P,1931,1919 - 1945,4.54
120,3030,204,8,6,4,8004,P,1931,1919 - 1945,5.53
121,1580,133,6,5,4,8004,P,1909,1900 - 1919,2.88
122,3030,205,8,6,4,8004,P,1932,1919 - 1945,5.53
123,2510,170,8,6,4,8004,P,1932,1919 - 1945,4.58
124,2510,170,8,6,4,8004,P,1932,1919 - 1945,4.58
125,2680,181,8,6,4,8004,P,1932,1919 - 1945,4.89
126,2540,170,7,6,4,8004,P,1932,1919 - 1945,4.64
127,2540,170,8,6,4,8004,P,1933,1919 - 1945,4.64
128,3040,201,8,6,4,8004,P,1933,1919 - 1945,5.55
129,2720,172,8,6,4,8004,P,1933,1919 - 1945,4.96
130,3445,199,10,7,4,8004,P,1931,1919 - 1945,6.29
131,3130,182,10,7,4,8004,P,1931,1919 - 1945,5.71
132,3570,205,10,7,4,8004,P,1931,1919 - 1945,6.51
133,3155,181,10,7,4,8004,P,1931,1919 - 1945,5.76
134,3090,205,8,6,4,8004,P,1933,1919 - 1945,5.64
135,3090,205,8,6,4,8004,P,1933,1919 - 1945,5.64
136,3090,206,8,6,4,8004,P,1933,1919 - 1945,5.64
137,2780,185,8,6,4,8004,P,1933,1919 - 1945,5.07
142,981,87,1,4,7,8053,P,1928,1919 - 1945,2.5
145,640,109,1,3,8,8008,P,1939,1919 - 1945,0.49
146,676,108,1,3,8,8008,P,1940,1919 - 1945,0.51
147,2008,224,5,5,9,8048,P,1945,1919 - 1945,5.0
151,1661,170,6,5,9,8048,P,1948,1946 - 1960,3.78
152,1644,169,6,5,9,8048,P,1948,1946 - 1960,3.74
153,1734,170,6,5,9,8048,P,1948,1946 - 1960,3.95
154,1986,194,6,5,9,8048,P,1948,1946 - 1960,4.52
161,622,95,1,3,9,8047,F,1950,1946 - 1960,0.58
162,697,88,2,4,12,8051,P,1904,1900 - 1919,11.54
164,1561,158,1,5,6,8006,P,1923,1919 - 1945,3.85
172,548,63,2,5,6,8006,O,1919,1919 - 1945,0.5
173,1480,104,3,5,9,8048,P,1927,1919 - 1945,1.33
174,505,70,1,4,9,8048,P,1928,1919 - 1945,0.48
