I_G,KS_G,I_ME,KS_ME,I_MI,KS_MI,I_W,KS_W,I_Z,KS_Z
67,0.143859649,65,0.081755594,112,0.108377814,166,0.10036227,39,0.141860465
182,0.144497608,104,0.1026965,47,0.109654212,54,0.110827855,141,0.151162791
75,0.151196172,52,0.105134825,84,0.110466466,59,0.115389776,197,0.152325581
187,0.152791069,30,0.107860011,152,0.111626828,17,0.116865692,137,0.154651163
198,0.15661882,40,0.118330465,69,0.121141796,57,0.117939085,117,0.158139535
100,0.161403509,5,0.119047619,87,0.12346252,27,0.118341607,33,0.160465116
114,0.162360447,31,0.122346529,0,0.125203063,126,0.119146652,138,0.160465116
147,0.164274322,169,0.12421113,164,0.126943606,95,0.124781967,40,0.161627907
124,0.165550239,132,0.125215146,111,0.129612439,107,0.128807192,67,0.161627907
129,0.165550239,95,0.126362593,189,0.130656765,4,0.132966591,50,0.163953488
48,0.169059011,175,0.132673551,13,0.13112091,15,0.133503287,82,0.16744186
195,0.169059011,88,0.135111876,116,0.134601996,0,0.133637461,3,0.168604651
194,0.172886762,2,0.136402754,154,0.134950104,81,0.133637461,166,0.172093023
152,0.173205742,63,0.137980493,180,0.138315154,142,0.133637461,118,0.173255814
44,0.174162679,193,0.139988526,196,0.141564168,69,0.135381725,95,0.174418605
13,0.176395534,50,0.141279403,159,0.142028313,135,0.135784248,133,0.174418605
37,0.177352472,70,0.143144005,195,0.142492458,188,0.135918422,171,0.174418605
132,0.183094099,181,0.144291452,48,0.142840566,82,0.136455119,37,0.176744186
161,0.183094099,36,0.144721744,30,0.144000928,112,0.136589293,102,0.176744186
123,0.184370016,167,0.146012622,81,0.144116964,13,0.136857641,145,0.176744186
12,0.185645933,141,0.146156053,41,0.145393363,131,0.136991815,193,0.177906977
54,0.186602871,155,0.147016638,156,0.145509399,12,0.140882866,164,0.179069767
102,0.186602871,99,0.147160069,125,0.145973544,147,0.140882866,77,0.180232558
164,0.186602871,133,0.147446931,10,0.146321652,150,0.14262713,98,0.180232558
49,0.18692185,144,0.147446931,26,0.146321652,120,0.143029652,152,0.180232558
27,0.187559809,186,0.147446931,33,0.146553725,83,0.144505568,35,0.181395349
105,0.187559809,196,0.147590361,38,0.146553725,180,0.145578961,22,0.18255814
199,0.189792663,42,0.148020654,99,0.147946159,125,0.148262445,26,0.18255814
51,0.190749601,58,0.148307516,59,0.148062195,72,0.149201664,119,0.18255814
95,0.19138756,85,0.14902467,7,0.148410304,108,0.149201664,71,0.18372093
142,0.192663477,112,0.149311532,62,0.148642376,181,0.150409231,189,0.18372093
183,0.192663477,54,0.151893287,86,0.152123463,165,0.152556018,55,0.184883721
11,0.193620415,11,0.154188181,61,0.153631933,172,0.153092714,104,0.184883721
53,0.193939394,166,0.158634538,145,0.155140404,162,0.153361063,180,0.184883721
24,0.194577352,77,0.159208262,25,0.155488512,145,0.156715417,52,0.186046512
109,0.194577352,105,0.160786001,32,0.155720585,68,0.157117939,150,0.186046512
117,0.194577352,171,0.160929432,3,0.155952657,36,0.15778881,93,0.187209302
38,0.194896332,28,0.161790017,19,0.156068693,103,0.159533074,109,0.187209302
58,0.19553429,116,0.162076879,17,0.156880947,100,0.160069771,173,0.187209302
23,0.196491228,121,0.16222031,160,0.156880947,161,0.160606467,174,0.187209302
110,0.196810207,39,0.163654618,187,0.156996983,105,0.162082383,29,0.190697674
14,0.197129187,151,0.165662651,104,0.158389417,119,0.162082383,142,0.193023256
89,0.197129187,182,0.165949512,18,0.158969599,175,0.162082383,78,0.194186047
150,0.200956938,100,0.166236374,15,0.159665816,62,0.16261908,146,0.196511628
10,0.201913876,9,0.167096959,167,0.159665816,110,0.16490004,91,0.197674419
90,0.201913876,165,0.167670683,110,0.16105825,132,0.16490004,10,0.198837209
50,0.202551834,47,0.168387837,129,0.162450685,32,0.165839259,24,0.201162791
108,0.202551834,48,0.168387837,184,0.162798793,43,0.165839259,159,0.201162791
179,0.204784689,23,0.169535284,65,0.162914829,121,0.165839259,127,0.204651163
91,0.206060606,143,0.169822146,108,0.163262938,143,0.166107608,151,0.204651163
70,0.206698565,140,0.170109007,66,0.163959155,24,0.166375956,177,0.204651163
15,0.207655502,38,0.170395869,144,0.1644233,138,0.166644304,0,0.205813953
120,0.207655502,110,0.170682731,168,0.164539336,3,0.167046827,20,0.205813953
97,0.207974482,156,0.172977625,76,0.165699698,31,0.168388568,58,0.205813953
65,0.20861244,71,0.17383821,98,0.165931771,47,0.168791091,9,0.208139535
61,0.211483254,135,0.17383821,16,0.166627988,21,0.168925265,135,0.208139535
156,0.211483254,130,0.174842226,186,0.166627988,90,0.169193613,184,0.208139535
1,0.212759171,173,0.176133104,199,0.166627988,74,0.169327787,139,0.209302326
20,0.21307815,35,0.176563396,5,0.167208169,154,0.169327787,195,0.209302326
133,0.21307815,159,0.176993689,6,0.167556278,164,0.170535355,198,0.209302326
63,0.213397129,137,0.177280551,23,0.167556278,80,0.170803703,103,0.210465116
113,0.213397129,53,0.177710843,57,0.167672314,92,0.172547967,130,0.210465116
178,0.213397129,51,0.179145152,73,0.168136459,55,0.172682141,194,0.210465116
160,0.213716108,126,0.179145152,133,0.169064748,23,0.173353012,30,0.211627907
184,0.213716108,67,0.179288583,151,0.170457183,173,0.173621361,101,0.211627907
76,0.214035088,107,0.179718876,128,0.170689255,5,0.174963102,128,0.211627907
88,0.214035088,37,0.181009753,148,0.170805291,114,0.176975714,36,0.213953488
40,0.214992026,87,0.181153184,106,0.170921327,118,0.176975714,68,0.213953488
94,0.215311005,117,0.181440046,11,0.173242052,29,0.177109889,187,0.213953488
46,0.215629984,195,0.181440046,37,0.174170341,168,0.177780759,44,0.215116279
19,0.215948963,46,0.182730924,4,0.174402414,179,0.178988327,69,0.215116279
18,0.21754386,138,0.182730924,138,0.176375029,40,0.179122501,134,0.215116279
180,0.21754386,16,0.182874355,158,0.176723138,48,0.179256675,181,0.215116279
155,0.217862839,94,0.182874355,100,0.177187282,169,0.180464243,16,0.21627907
84,0.219776715,56,0.183304647,105,0.177187282,79,0.180866765,72,0.21627907
96,0.219776715,4,0.184595525,143,0.177187282,177,0.18167181,73,0.21744186
181,0.219776715,168,0.185169248,171,0.177187282,63,0.182208507,192,0.21744186
52,0.220095694,83,0.185312679,58,0.177419355,140,0.182611029,196,0.21744186
196,0.220733652,189,0.185312679,177,0.177419355,77,0.182745203,89,0.219767442
36,0.221052632,108,0.187177281,63,0.177651427,127,0.1832819,123,0.219767442
125,0.221052632,41,0.187320711,194,0.180088188,196,0.1832819,83,0.220930233
2,0.222966507,55,0.187751004,97,0.181132513,53,0.183684422,165,0.220930233
64,0.222966507,128,0.188037866,157,0.181132513,93,0.183684422,169,0.220930233
151,0.222966507,84,0.188468158,27,0.181364586,7,0.184355293,188,0.220930233
168,0.222966507,102,0.189041882,95,0.181596658,123,0.184757816,112,0.222093023
141,0.223285486,75,0.19047619,44,0.181712694,99,0.185562861,49,0.223255814
118,0.225199362,125,0.19047619,36,0.182176839,71,0.185831209,111,0.223255814
171,0.225837321,106,0.192484223,94,0.182176839,50,0.18650208,113,0.223255814
157,0.229027113,115,0.193057946,178,0.182176839,176,0.18650208,158,0.223255814
192,0.231578947,190,0.19535284,122,0.183453237,9,0.187307125,172,0.225581395
185,0.233173844,90,0.195783133,53,0.183569274,191,0.187575473,186,0.225581395
140,0.235406699,184,0.197217441,2,0.184149455,73,0.188246344,48,0.226744186
