,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,MINERAL
0,1328,119,5,5,10,8049,P,1933,1919 - 1945,325.0
1,1016,109,5,4,10,8049,P,1938,1919 - 1945,325.0
2,915,95,1,4,11,8050,P,1933,1919 - 1945,300.0
5,1658,160,6,5,9,8047,P,1941,1919 - 1945,224.55
6,1745,160,6,5,9,8047,P,1941,1919 - 1945,390.0
7,579,80,1,4,9,8048,M,1937,1919 - 1945,200.0
8,1804,143,4,5,11,8057,P,1906,1900 - 1919,318.18
10,1735,161,6,5,9,8048,P,1942,1919 - 1945,201.74
11,1705,161,6,5,9,8048,P,1942,1919 - 1945,198.26
15,619,72,3,4,11,8050,P,1929,1919 - 1945,99.54
16,936,103,3,4,11,8050,P,1929,1919 - 1945,147.62
17,431,65,1,4,11,8050,P,1939,1919 - 1945,100.0
18,1957,224,8,5,11,8052,F,1961,1961 - 1970,236.36
21,667,80,1,4,9,8048,P,1939,1919 - 1945,208.0
22,1376,138,3,5,10,8049,P,1949,1946 - 1960,418.03
23,2258,213,6,5,10,8049,P,1949,1946 - 1960,685.97
24,2147,238,9,5,2,8002,P,1952,1946 - 1960,270.96
25,2069,235,6,5,2,8002,P,1952,1946 - 1960,261.12
26,2119,237,7,5,2,8002,P,1952,1946 - 1960,267.43
27,351,51,1,4,9,8048,P,1947,1946 - 1960,47.95
28,381,50,1,4,9,8048,P,1947,1946 - 1960,52.05
29,2386,216,12,5,3,8003,P,1938,1919 - 1945,600.0
30,2250,216,12,5,3,8003,P,1938,1919 - 1945,1076.83
31,2006,183,7,6,7,8032,P,1945,1919 - 1945,602.26
33,2681,245,6,5,7,8032,P,1945,1919 - 1945,804.92
34,1218,90,3,5,6,8057,P,1921,1919 - 1945,53.53
35,1444,113,4,5,6,8057,P,1921,1919 - 1945,63.47
36,1744,174,6,5,11,8052,P,1950,1946 - 1960,837.66
37,1942,174,6,5,11,8052,P,1950,1946 - 1960,932.76
38,1863,179,6,5,11,8052,P,1950,1946 - 1960,894.81
39,1738,180,6,5,11,8052,P,1950,1946 - 1960,834.77
40,434,59,1,4,11,8052,P,1949,1946 - 1960,165.31
41,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
42,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
43,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
44,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
45,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
46,382,52,1,4,11,8052,P,1949,1946 - 1960,145.51
47,397,54,1,4,11,8052,P,1949,1946 - 1960,151.22
48,1841,170,6,5,11,8052,P,1949,1946 - 1960,701.24
49,1819,168,6,5,11,8052,P,1949,1946 - 1960,692.86
50,1819,168,6,5,11,8052,P,1949,1946 - 1960,692.86
51,1851,171,6,5,11,8052,P,1949,1946 - 1960,705.05
52,1828,170,6,5,11,8052,P,1949,1946 - 1960,696.29
53,1827,170,6,5,11,8052,P,1949,1946 - 1960,695.91
54,2227,171,6,5,11,8052,P,1949,1946 - 1960,848.27
55,2227,171,6,5,11,8052,P,1949,1946 - 1960,848.27
56,3217,247,9,5,11,8052,P,1960,1946 - 1960,1225.37
57,1869,171,6,5,11,8052,P,1949,1946 - 1960,711.91
58,1859,170,6,5,11,8052,P,1949,1946 - 1960,708.1
59,1837,168,9,5,11,8052,P,1960,1946 - 1960,699.72
60,1833,170,6,5,11,8052,P,1949,1946 - 1960,698.2
61,1822,169,6,5,11,8052,P,1949,1946 - 1960,694.01
62,1839,170,6,5,11,8052,P,1949,1946 - 1960,700.48
63,1828,169,6,5,11,8052,P,1949,1946 - 1960,696.29
64,1028,95,6,5,11,8052,P,1960,1946 - 1960,391.57
65,1827,170,6,5,11,8052,P,1949,1946 - 1960,695.91
66,1828,170,6,5,11,8052,P,1949,1946 - 1960,696.29
67,392,53,1,4,11,8052,P,1949,1946 - 1960,149.31
68,385,52,1,4,11,8052,P,1949,1946 - 1960,146.65
69,385,52,1,4,11,8052,P,1949,1946 - 1960,146.65
70,385,52,1,4,11,8052,P,1949,1946 - 1960,146.65
71,430,58,1,4,11,8052,P,1949,1946 - 1960,163.79
72,393,53,1,4,11,8052,P,1949,1946 - 1960,149.7
73,386,52,1,4,11,8052,P,1949,1946 - 1960,147.03
74,386,52,1,4,11,8052,P,1949,1946 - 1960,147.03
75,430,58,1,4,11,8052,P,1949,1946 - 1960,163.79
76,397,54,1,4,11,8052,P,1949,1946 - 1960,151.22
85,1811,189,3,5,6,8057,F,1931,1919 - 1945,151.27
88,348,109,1,2,7,8053,P,1960,1946 - 1960,104.19
89,2567,247,9,6,7,8053,P,1960,1946 - 1960,768.56
90,2597,246,9,6,7,8053,P,1960,1946 - 1960,777.54
101,2260,204,1,5,7,8032,M,1945,1919 - 1945,140.0
102,543,70,1,4,11,8050,P,1926,1919 - 1945,12.6
106,493,110,1,3,9,8048,P,1943,1919 - 1945,25.0
107,2000,205,9,5,3,8055,P,1960,1946 - 1960,626.81
108,2099,204,9,5,3,8055,P,1960,1946 - 1960,657.84
109,2223,203,9,5,3,8055,P,1960,1946 - 1960,696.7
111,1866,174,9,5,3,8055,P,1960,1946 - 1960,584.81
112,1796,174,9,5,3,8055,P,1960,1946 - 1960,562.87
114,3250,183,10,7,4,8004,P,1931,1919 - 1945,185.04
116,2420,168,8,6,4,8004,P,1931,1919 - 1945,137.78
117,2590,181,8,6,4,8004,P,1931,1919 - 1945,147.46
118,2420,168,8,6,4,8004,P,1931,1919 - 1945,137.78
119,2490,168,8,6,4,8004,P,1931,1919 - 1945,141.77
120,3030,204,8,6,4,8004,P,1931,1919 - 1945,172.51
121,1580,133,6,5,4,8004,P,1909,1900 - 1919,89.96
122,3030,205,8,6,4,8004,P,1932,1919 - 1945,172.51
123,2510,170,8,6,4,8004,P,1932,1919 - 1945,142.91
124,2510,170,8,6,4,8004,P,1932,1919 - 1945,142.91
125,2680,181,8,6,4,8004,P,1932,1919 - 1945,152.58
126,2540,170,7,6,4,8004,P,1932,1919 - 1945,144.61
127,2540,170,8,6,4,8004,P,1933,1919 - 1945,144.61
128,3040,201,8,6,4,8004,P,1933,1919 - 1945,173.08
129,2720,172,8,6,4,8004,P,1933,1919 - 1945,154.86
130,3445,199,10,7,4,8004,P,1931,1919 - 1945,196.14
131,3130,182,10,7,4,8004,P,1931,1919 - 1945,178.2
132,3570,205,10,7,4,8004,P,1931,1919 - 1945,203.26
133,3155,181,10,7,4,8004,P,1931,1919 - 1945,179.63
134,3090,205,8,6,4,8004,P,1933,1919 - 1945,175.93
135,3090,205,8,6,4,8004,P,1933,1919 - 1945,175.93
136,3090,206,8,6,4,8004,P,1933,1919 - 1945,175.93
137,2780,185,8,6,4,8004,P,1933,1919 - 1945,158.28
138,481,68,1,4,11,8052,P,1938,1919 - 1945,187.17
139,608,120,1,4,11,8052,M,1938,1919 - 1945,231.62
142,981,87,1,4,7,8053,P,1928,1919 - 1945,130.0
143,1664,181,5,5,2,8002,P,1953,1946 - 1960,105.75
144,2018,205,8,6,2,8002,P,1953,1946 - 1960,128.25
145,640,109,1,3,8,8008,P,1939,1919 - 1945,145.9
146,676,108,1,3,8,8008,P,1940,1919 - 1945,154.1
147,2008,224,5,5,9,8048,P,1945,1919 - 1945,377.0
148,1343,143,6,5,2,8038,P,1949,1946 - 1960,48.0
149,1430,148,3,5,9,8048,P,1907,1900 - 1919,288.0
151,1661,170,6,5,9,8048,P,1948,1946 - 1960,591.1
152,1644,169,6,5,9,8048,P,1948,1946 - 1960,585.05
153,1734,170,6,5,9,8048,P,1948,1946 - 1960,617.08
154,1986,194,6,5,9,8048,P,1948,1946 - 1960,706.76
155,485,94,1,3,9,8048,P,1941,1919 - 1945,50.0
161,622,95,1,3,9,8047,F,1950,1946 - 1960,147.69
162,697,88,2,4,12,8051,P,1904,1900 - 1919,108.0
163,1175,109,3,4,3,8055,P,1940,1919 - 1945,100.0
164,1561,158,1,5,6,8006,P,1923,1919 - 1945,149.0
165,74,30,1,1,11,8046,P,1941,1919 - 1945,9.45
166,598,61,1,4,11,8046,P,1941,1919 - 1945,76.37
167,111,44,1,1,11,8046,F,1941,1919 - 1945,14.18
172,548,63,2,5,6,8006,O,1919,1919 - 1945,136.0
173,1480,104,3,5,9,8048,P,1927,1919 - 1945,131.83
174,505,70,1,4,9,8048,P,1928,1919 - 1945,47.14
