,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,ROOFTILE
0,1328,119,5,5,10,8049,P,1933,1919 - 1945,11.9
2,915,95,1,4,11,8050,P,1933,1919 - 1945,9.0
5,1658,160,6,5,9,8047,P,1941,1919 - 1945,23.18
6,1745,160,6,5,9,8047,P,1941,1919 - 1945,34.0
7,579,80,1,4,9,8048,M,1937,1919 - 1945,15.0
8,1804,143,4,5,11,8057,P,1906,1900 - 1919,23.78
10,1735,161,6,5,9,8048,P,1942,1919 - 1945,32.98
11,1705,161,6,5,9,8048,P,1942,1919 - 1945,32.41
17,431,65,1,4,11,8050,P,1939,1919 - 1945,13.08
18,1957,224,8,5,11,8052,F,1961,1961 - 1970,0.0
27,351,51,1,4,9,8048,P,1947,1946 - 1960,12.54
28,381,50,1,4,9,8048,P,1947,1946 - 1960,13.61
29,2386,216,12,5,3,8003,P,1938,1919 - 1945,15.0
31,2006,183,7,6,7,8032,P,1945,1919 - 1945,9.06
33,2681,245,6,5,7,8032,P,1945,1919 - 1945,12.1
34,1218,90,3,5,6,8057,P,1921,1919 - 1945,4.67
35,1444,113,4,5,6,8057,P,1921,1919 - 1945,5.53
36,1744,174,6,5,11,8052,P,1950,1946 - 1960,14.36
37,1942,174,6,5,11,8052,P,1950,1946 - 1960,15.99
38,1863,179,6,5,11,8052,P,1950,1946 - 1960,15.34
39,1738,180,6,5,11,8052,P,1950,1946 - 1960,14.31
85,1811,189,3,5,6,8057,F,1931,1919 - 1945,11.87
101,2260,204,1,5,7,8032,M,1945,1919 - 1945,14.38
102,543,70,1,4,11,8050,P,1926,1919 - 1945,6.15
106,493,110,1,3,9,8048,P,1943,1919 - 1945,10.46
113,850,123,1,4,7,8053,P,1937,1919 - 1945,8.5
114,3250,183,10,7,4,8004,P,1931,1919 - 1945,16.13
115,3800,201,8,6,4,8004,P,1931,1919 - 1945,18.86
116,2420,168,8,6,4,8004,P,1931,1919 - 1945,12.01
117,2590,181,8,6,4,8004,P,1931,1919 - 1945,12.86
118,2420,168,8,6,4,8004,P,1931,1919 - 1945,12.01
119,2490,168,8,6,4,8004,P,1931,1919 - 1945,12.36
120,3030,204,8,6,4,8004,P,1931,1919 - 1945,15.04
121,1580,133,6,5,4,8004,P,1909,1900 - 1919,7.84
122,3030,205,8,6,4,8004,P,1932,1919 - 1945,15.04
123,2510,170,8,6,4,8004,P,1932,1919 - 1945,12.46
124,2510,170,8,6,4,8004,P,1932,1919 - 1945,12.46
125,2680,181,8,6,4,8004,P,1932,1919 - 1945,13.3
126,2540,170,7,6,4,8004,P,1932,1919 - 1945,12.61
127,2540,170,8,6,4,8004,P,1933,1919 - 1945,12.61
128,3040,201,8,6,4,8004,P,1933,1919 - 1945,15.09
