EGID,VAR_NAME,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,WOOD,GLASS,METAL,MINERAL,ROOFTILE
165370,b1,1328,119,5,5,10,8049,P,1933,1919 - 1945,4.38,2.5,37.5,325,11.9
165460,b2,1016,109,5,4,10,8049,P,1938,1919 - 1945,34.2,17.5,225,325,51
169578,b3,915,95,1,4,11,8050,P,1933,1919 - 1945,35.08,2,28.85,300,9
169461,b4,422,72,1,4,11,8050,P,1891,< 1919,43.85,#N/A,144.23,250,13.08
161142,b5,5010,215,3,5,9,8047,P,1952,1946 - 1960,31.57,#N/A,86.54,180,47.08
161103,b6,1658,160,6,5,9,8047,P,1941,1919 - 1945,36.27,11.36,68.18,224.55,23.18
161099,b7,1745,160,6,5,9,8047,P,1941,1919 - 1945,5.7,#N/A,30,390,34
162718,b8,579,80,1,4,9,8048,M,1937,1919 - 1945,40,3,5,200,15
169932,b9,1804,143,4,5,11,8057,P,1906,1900 - 1919,19.93,34.97,104.9,318.18,23.78
159647,b10,3604,354,21,5,8,8008,P,1952,1946 - 1960,30.69,19.23,173.08,200,52.31
162960,b11,1735,161,6,5,9,8048,P,1942,1919 - 1945,22.11,#N/A,2.52,201.74,32.98
162970,b12,1705,161,6,5,9,8048,P,1942,1919 - 1945,21.73,#N/A,2.48,198.26,32.41
158522,b13,876,113,5,4,7,8053,P,1965,1961 - 1970,#N/A,11.5,68.99,#N/A,101.65
9001922,b14,589,76,2,4,7,8053,P,1965,1961 - 1970,#N/A,7.73,46.39,#N/A,68.35
165243,b15,8265,490,26,7,10,8049,P,1973,1971 - 1980,87.69,#N/A,30,2000,#N/A
170578,b16,619,72,3,4,11,8050,P,1929,1919 - 1945,10.91,0.72,2.87,99.54,#N/A
170561,b17,936,103,3,4,11,8050,P,1929,1919 - 1945,16.18,1.06,4.26,147.62,#N/A
168991,b18,431,65,1,4,11,8050,P,1939,1919 - 1945,10,#N/A,1,100,13.08
172202,b19,1957,224,8,5,11,8052,F,1961,1961 - 1970,11.96,1.75,157.34,236.36,0
163109,b20,1520,154,3,5,9,8048,M,1929,1919 - 1945,11.4,5,30,#N/A,#N/A
