,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_min_impurity_decrease,param_max_features,param_max_depth,param_ccp_alpha,param_bootstrap,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,split5_train_neg_mean_absolute_error,split6_train_neg_mean_absolute_error,split7_train_neg_mean_absolute_error,split8_train_neg_mean_absolute_error,split9_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,1.14208014,0.021026297,0.093112254,0.014311937,800,4,0.05,0.6,5,0,TRUE,"{'n_estimators': 800, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'max_features': 0.6, 'max_depth': 5, 'ccp_alpha': 0, 'bootstrap': True}",0.80403384,0.702424075,0.481415375,0.545783925,0.717606225,0.670569955,0.297886239,0.509621781,0.493689772,0.687844267,0.591087545,0.143387115,255,0.714400524,0.718941688,0.74376447,0.728327538,0.729070467,0.726516116,0.743484019,0.738535315,0.739827948,0.730429039,0.731329712,0.009511313,-10.30306705,-17.37083792,-21.71152624,-18.45710953,-11.94085251,-13.5051302,-19.97672581,-14.5779283,-19.29067399,-15.53665707,-16.26705086,3.519387888,344,-13.76674468,-13.36935165,-12.78448049,-13.36792637,-13.51941783,-13.70647478,-12.70925145,-13.42086784,-12.81803243,-13.52685403,-13.29894016,0.367931742
1,1.386218357,0.018102473,0.11263957,0.007987203,1000,1,0,0.4,5,0,TRUE,"{'n_estimators': 1000, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'max_features': 0.4, 'max_depth': 5, 'ccp_alpha': 0, 'bootstrap': True}",0.844638955,0.769040887,0.502074709,0.562297508,0.703707299,0.587299596,0.252869907,0.552325091,0.521837882,0.653704841,0.594979667,0.155519797,227,0.77525762,0.784155935,0.806812068,0.784056667,0.78475017,0.780963315,0.804825597,0.802490157,0.796036845,0.796098261,0.791544663,0.010508363,-9.340554903,-14.43648856,-20.64193862,-17.15718217,-13.02034526,-16.09537025,-20.84358089,-13.19908431,-18.63247347,-15.95604772,-15.93230662,3.416991492,317,-12.54331167,-11.90376228,-11.32352215,-11.93286618,-12.15385945,-12.520475,-11.08287439,-11.95126701,-11.43461362,-11.93083159,-11.87773833,0.456027042
2,1.26229074,0.115310261,0.093160987,0.012139086,800,3,0,0.3,11,0.05,TRUE,"{'n_estimators': 800, 'min_samples_leaf': 3, 'min_impurity_decrease': 0, 'max_features': 0.3, 'max_depth': 11, 'ccp_alpha': 0.05, 'bootstrap': True}",0.858665354,0.773455198,0.523523764,0.572382744,0.699622091,0.665119868,0.356711965,0.548046051,0.527645431,0.672858162,0.619803063,0.136484842,46,0.794497106,0.789961556,0.80790963,0.8093131,0.798875387,0.806511403,0.812820338,0.808464655,0.813108076,0.80273247,0.804419372,0.007375652,-7.791656711,-15.01943935,-21.18882467,-16.33065004,-11.70132375,-13.26152687,-17.46052382,-12.5551497,-18.26067256,-16.14853813,-14.97183056,3.604316658,230,-11.25443843,-11.20834819,-10.22447493,-10.75348988,-11.19942156,-10.98808234,-10.26792277,-10.89286122,-10.28982934,-10.87326809,-10.79521368,0.38193062
3,1.495280313,0.229076449,0.116212153,0.009742892,1000,2,0.05,0.3,10,0,TRUE,"{'n_estimators': 1000, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.05, 'max_features': 0.3, 'max_depth': 10, 'ccp_alpha': 0, 'bootstrap': True}",0.873024454,0.801396528,0.507859451,0.572600568,0.708223574,0.652976091,0.31519046,0.555428622,0.555873814,0.659526609,0.620210017,0.149456182,42,0.84014776,0.842421003,0.855731453,0.857947042,0.849086667,0.850610106,0.855167607,0.855746642,0.851933711,0.851194335,0.850998633,0.005537511,-6.870379298,-13.28543911,-20.66230526,-15.13827412,-11.46223184,-13.39898161,-17.93075253,-11.31426849,-17.01289447,-15.584482,-14.26600087,3.706346976,156,-9.589933378,-9.368159658,-8.584300473,-8.931030093,-9.340773521,-9.321062683,-8.650025131,-9.147262869,-8.865181173,-9.014577266,-9.081230624,0.312555105
4,1.486560774,0.218672924,0.102347016,0.019526636,800,2,0,,12,0.01,FALSE,"{'n_estimators': 800, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'max_features': None, 'max_depth': 12, 'ccp_alpha': 0.01, 'bootstrap': False}",0.674214319,0.71878734,0.400172827,0.561907102,0.297244189,-0.152015764,0.041822461,0.571000522,0.635834347,0.840634837,0.458960218,0.298472631,487,0.927112087,0.90432173,0.908789561,0.917911142,0.920618516,0.931151023,0.920098395,0.943069775,0.931669531,0.944980031,0.924972179,0.012634609,-9.173878446,-10.73379271,-18.62158807,-16.43518073,-14.91300022,-19.79447862,-19.58696,-10.31863589,-13.10942777,-10.36434674,-14.30512892,3.917970309,161,-4.802786001,-5.263377448,-5.101264164,-5.343436922,-5.22436423,-4.68014837,-4.765500265,-4.545679164,-4.716159876,-4.337199012,-4.877991545,0.319611647
5,1.433401084,0.016958775,0.12407794,0.028243235,1000,1,0.05,0.4,4,0.05,TRUE,"{'n_estimators': 1000, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.05, 'max_features': 0.4, 'max_depth': 4, 'ccp_alpha': 0.05, 'bootstrap': True}",0.82539938,0.75180277,0.4966282,0.541800839,0.681566876,0.591934465,0.230395524,0.553052311,0.48560418,0.66562558,0.582381012,0.157397722,307,0.716799716,0.726622121,0.754932221,0.73117559,0.732453932,0.727068156,0.753885081,0.743887342,0.743221923,0.741126987,0.737117307,0.011741791,-11.18949749,-15.36390851,-21.41963196,-18.42490925,-14.10569637,-16.90749784,-21.64863231,-14.1443647,-20.1802829,-16.06992051,-16.94543418,3.272639702,376,-14.48934371,-13.94297777,-13.17397023,-13.74536294,-13.99774369,-14.45844844,-12.80342439,-13.97207693,-13.20719774,-13.95569833,-13.77462442,0.524898418
6,1.153040385,0.011836723,0.096031451,0.012662564,800,2,0.01,log2,,0.05,TRUE,"{'n_estimators': 800, 'min_samples_leaf': 2, 'min_impurity_decrease': 0.01, 'max_features': 'log2', 'max_depth': None, 'ccp_alpha': 0.05, 'bootstrap': True}",0.878477698,0.775371128,0.514739965,0.577631763,0.656141826,0.699554632,0.360137627,0.55391459,0.54763953,0.656835779,0.622044454,0.137806992,32,0.789352371,0.789538435,0.811376235,0.813343906,0.80217545,0.799449848,0.811743415,0.812006653,0.813110582,0.80340478,0.804550168,0.008909755,-8.452259831,-15.37716817,-21.85594216,-16.17245819,-13.15783272,-13.097404,-18.02886286,-12.75948153,-18.43376873,-17.02127933,-15.43564575,3.557802819,274,-12.02932792,-11.82047731,-10.76614439,-11.16793728,-11.56767542,-11.79055588,-10.82644085,-11.32030295,-10.86225415,-11.42185137,-11.35729675,0.426129546
7,1.600058937,0.30237247,0.119017482,0.01665411,1000,4,0.05,0.6,,0,TRUE,"{'n_estimators': 1000, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'max_features': 0.6, 'max_depth': None, 'ccp_alpha': 0, 'bootstrap': True}",0.835674864,0.746486216,0.497139838,0.531589524,0.732016383,0.663315424,0.352499393,0.528927026,0.517428087,0.685681734,0.609075849,0.139047444,122,0.782495318,0.779647832,0.79659033,0.798527935,0.788173656,0.795175531,0.795147574,0.794788025,0.805375937,0.787585154,0.792350729,0.007390411,-8.271575467,-15.4848055,-21.24841048,-17.59325381,-11.12150973,-13.00042216,-17.65781828,-13.14805864,-18.11964005,-15.67028797,-15.13157821,3.616867798,252,-11.50549194,-11.38555526,-10.30532075,-11.04558928,-11.35014588,-11.25849627,-10.61491989,-11.07290674,-10.55260611,-11.31176581,-11.04027979,0.388971944
8,1.145595741,0.025943444,0.091961527,0.006814793,800,4,0.05,0.4,11,0,TRUE,"{'n_estimators': 800, 'min_samples_leaf': 4, 'min_impurity_decrease': 0.05, 'max_features': 0.4, 'max_depth': 11, 'ccp_alpha': 0, 'bootstrap': True}",0.843312837,0.73618681,0.513811973,0.539375787,0.711952921,0.669884709,0.351450121,0.543483346,0.508979374,0.671952717,0.60903906,0.135604226,123,0.762144518,0.759062968,0.781436939,0.784821434,0.771171981,0.776955685,0.78252849,0.779581287,0.782361126,0.771179707,0.775124414,0.008496576,-8.7096308,-16.51704337,-21.29710563,-17.51596184,-11.59486365,-12.95319983,-17.93016222,-13.24398263,-18.71474054,-16.48063822,-15.49573287,3.589451723,279,-12.42446622,-12.19596998,-11.06288357,-11.73542564,-12.19024226,-12.16390794,-11.27201114,-11.91072619,-11.25352479,-12.03276781,-11.82419255,0.449107393
9,1.410661387,0.025749804,0.119250178,0.01983373,1000,3,0.05,sqrt,10,0.01,TRUE,"{'n_estimators': 1000, 'min_samples_leaf': 3, 'min_impurity_decrease': 0.05, 'max_features': 'sqrt', 'max_depth': 10, 'ccp_alpha': 0.01, 'bootstrap': True}",0.863959667,0.728752798,0.515787724,0.561243158,0.651429356,0.696879443,0.349994031,0.54010159,0.534816279,0.657013005,0.609997705,0.133965315,114,0.738124523,0.733986789,0.763472193,0.759375256,0.746816065,0.753313485,0.764251188,0.764169592,0.763586659,0.752527844,0.753962359,0.010610466,-9.637600735,-17.54839617,-22.54361828,-17.66100203,-13.5495438,-13.28965673,-18.47320089,-13.70023742,-19.30679937,-17.84395294,-16.35540084,3.55364372,345,-13.75509292,-13.57029514,-12.53567186,-13.05509871,-13.57761505,-13.49903821,-12.65969337,-13.15321332,-12.56451797,-13.22686165,-13.15970982,0.426853383
