,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_max_depth,param_max_features,param_min_impurity_decrease,param_min_samples_leaf,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,mean_train_r2,std_train_r2,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,split5_train_neg_mean_absolute_error,split6_train_neg_mean_absolute_error,split7_train_neg_mean_absolute_error,split8_train_neg_mean_absolute_error,split9_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
0,1.154643869,0.287630351,0.073428416,0.025789994,TRUE,0,7,sqrt,0,1,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 'sqrt', 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'n_estimators': 800}",0.144971735,0.453376924,0.622786535,0.511642912,0.49586746,0.452178244,0.555400265,0.347068669,0.342882079,0.454105012,0.438027983,0.126719822,86,0.76098716,0.735859465,0.733965689,0.734334134,0.730024269,0.738457348,0.73032284,0.749666331,0.743583062,0.7476769,0.74048772,0.009404758,-8.858135175,-8.156769662,-6.548885393,-8.23748821,-8.439498415,-8.533331544,-7.45318948,-11.75504583,-9.005106394,-8.682452474,-8.566990257,1.267331053,156,-5.813181281,-5.968718501,-6.183199839,-6.042558142,-6.157619954,-5.950528754,-6.231833137,-5.617829443,-5.978489828,-5.879167161,-5.982312604,0.176147767
1,0.972197056,0.005836083,0.05951066,0.005110537,TRUE,0,7,sqrt,0,2,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 'sqrt', 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'n_estimators': 800}",0.174007571,0.409982731,0.556978522,0.495079336,0.480178361,0.441397951,0.562265511,0.328238309,0.330215151,0.373791399,0.415213484,0.113012867,146,0.660636179,0.635469863,0.63042498,0.634477673,0.638630435,0.642452823,0.633365701,0.650343776,0.641009451,0.638313171,0.640512405,0.008536332,-8.788217006,-8.57402523,-6.992566163,-8.468684728,-8.667030488,-8.768619945,-7.730524381,-12.2637279,-9.147991101,-9.047839331,-8.844922628,1.294217398,165,-6.897479803,-7.0905543,-7.228136997,-7.071794226,-7.141829863,-6.898532025,-7.288811165,-6.573950173,-7.03815438,-7.043859933,-7.027310286,0.191617878
2,0.966562867,0.008174794,0.060540342,0.003829712,TRUE,0,7,sqrt,0,3,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 'sqrt', 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'n_estimators': 800}",0.180901359,0.375828441,0.474080877,0.470856295,0.459288619,0.408933389,0.520305823,0.30150031,0.324442858,0.313413671,0.382955164,0.098574087,176,0.597545677,0.5745861,0.569679439,0.566326781,0.564668128,0.576300341,0.569510455,0.579154524,0.578533822,0.577795425,0.575410069,0.008868294,-8.818879365,-8.807123905,-7.415061344,-8.806445066,-9.018782003,-9.244367175,-8.146481182,-12.73277971,-9.41713161,-9.332426625,-9.173947798,1.31619279,177,-7.556530093,-7.636830909,-7.836466915,-7.828029446,-7.86836473,-7.574980891,-7.910739586,-7.288756653,-7.682122255,-7.706449017,-7.68892705,0.177829281
3,0.984688234,0.003769153,0.061052632,0.004493033,TRUE,0,7,sqrt,0.01,1,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 'sqrt', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 800}",0.172748173,0.462602061,0.63630916,0.485556946,0.482487215,0.454612764,0.556048811,0.35761023,0.35659914,0.474258058,0.443883256,0.119498842,72,0.761315431,0.733693898,0.728416477,0.736807629,0.723956968,0.743319295,0.722427835,0.74325631,0.732541167,0.746274583,0.737200959,0.011148647,-8.687492416,-8.01108995,-6.457768628,-8.423072275,-8.546694365,-8.525767178,-7.684109056,-11.64847421,-8.93188236,-8.586353975,-8.550270441,1.232920665,151,-5.837676618,-6.02698316,-6.242401635,-6.0626861,-6.221373023,-5.9533724,-6.3179215,-5.728897091,-6.134341562,-5.897574377,-6.042322747,0.180594186
4,0.980860877,0.022089663,0.060040736,0.00969205,TRUE,0,7,sqrt,0.01,2,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 'sqrt', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'n_estimators': 800}",0.175817113,0.409063816,0.562704034,0.500267664,0.475701845,0.441407728,0.567966088,0.334115108,0.332772408,0.392117541,0.419193334,0.11303228,134,0.66106322,0.633176857,0.626577066,0.635905954,0.630683238,0.638638501,0.624611223,0.647229013,0.641794663,0.642218125,0.638189786,0.010199274,-8.750816042,-8.553816841,-7.00988837,-8.402705858,-8.668998191,-8.794054266,-7.68271242,-12.21350422,-9.164722092,-8.872120999,-8.81133393,1.283738524,163,-6.896919119,-7.107805985,-7.289567926,-7.053220782,-7.223797435,-7.002000474,-7.387667203,-6.63868193,-7.036717776,-7.00441951,-7.064079814,0.200040305
5,0.961197782,0.006745116,0.064217639,0.009305753,TRUE,0,7,sqrt,0.01,3,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 'sqrt', 'min_impurity_decrease': 0.01, 'min_samples_leaf': 3, 'n_estimators': 800}",0.184297352,0.363042845,0.477756905,0.45177161,0.459648571,0.40947731,0.513123953,0.310518944,0.333410029,0.30488771,0.380793523,0.095322213,179,0.596513021,0.569818238,0.56601637,0.555402957,0.566489679,0.573751659,0.562450532,0.574991107,0.582056724,0.573474196,0.572096448,0.010741056,-8.790848287,-8.99967259,-7.482492773,-8.948430458,-8.991148132,-9.312328993,-8.200650298,-12.66417169,-9.35467947,-9.335284983,-9.207970768,1.277406325,179,-7.548598606,-7.727793545,-7.91551855,-7.892910609,-7.8365369,-7.656335334,-7.994836241,-7.356199636,-7.684973476,-7.764829669,-7.737853257,0.179759181
6,1.005305004,0.006526541,0.061359859,0.008162582,TRUE,0,7,0.2,0,1,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 0.2, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'n_estimators': 800}",0.155215645,0.477164659,0.655115994,0.511697393,0.50085437,0.476885414,0.557018484,0.366944682,0.350815754,0.506792544,0.455850494,0.129574547,41,0.786245737,0.75953498,0.753479669,0.759570886,0.75554433,0.768248809,0.744518423,0.770647339,0.767892637,0.768638292,0.76343211,0.010917027,-8.530603333,-7.844160156,-6.187806268,-8.050228185,-8.248978372,-8.140809374,-7.343081421,-11.50636301,-8.933520821,-8.297483109,-8.308303405,1.28100677,126,-5.404902269,-5.636442777,-5.847089152,-5.65786286,-5.74759265,-5.51307009,-5.913909396,-5.291433924,-5.571582236,-5.497162549,-5.60810479,0.183741973
7,0.99203732,0.008300745,0.059068203,0.004749772,TRUE,0,7,0.2,0,2,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 0.2, 'min_impurity_decrease': 0, 'min_samples_leaf': 2, 'n_estimators': 800}",0.172621731,0.443779689,0.572420103,0.524191675,0.498926422,0.452672752,0.576738182,0.333819924,0.318573977,0.407507277,0.430125173,0.120232334,99,0.700380119,0.680201328,0.669088416,0.678325574,0.675975358,0.683683143,0.671198785,0.683609234,0.678505231,0.682944112,0.68039113,0.00816627,-8.470711688,-8.106373385,-6.768739219,-8.14609797,-8.260738845,-8.446704481,-7.409564772,-12.00387251,-9.318353755,-8.633011608,-8.556416823,1.321368021,152,-6.33369141,-6.462213766,-6.734114517,-6.53227911,-6.612319479,-6.411988001,-6.731459197,-6.135551247,-6.560444712,-6.414242486,-6.492830392,0.173836074
8,0.983469939,0.02328286,0.060107493,0.007555331,TRUE,0,7,0.2,0,3,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 0.2, 'min_impurity_decrease': 0, 'min_samples_leaf': 3, 'n_estimators': 800}",0.185661133,0.382159627,0.504847928,0.511740878,0.477855913,0.430523572,0.543821632,0.327782971,0.322276474,0.332201544,0.401887167,0.106411323,156,0.642321175,0.615932573,0.608442433,0.609590842,0.613947443,0.618894794,0.601889023,0.627081661,0.625711419,0.615908105,0.617971947,0.010867166,-8.413960589,-8.668310293,-7.049651103,-8.300099473,-8.549462539,-8.736382257,-7.937688174,-12.34074231,-9.431561544,-9.022266036,-8.845012432,1.313592609,166,-6.91080819,-7.081823812,-7.358974788,-7.242983148,-7.27131463,-7.049317838,-7.458161405,-6.741261936,-7.04529835,-7.141782336,-7.130172643,0.20202974
9,1.003258491,0.006310226,0.058715057,0.003297598,TRUE,0,7,0.2,0.01,1,800,"{'bootstrap': True, 'ccp_alpha': 0, 'max_depth': 7, 'max_features': 0.2, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 1, 'n_estimators': 800}",0.150435652,0.467173556,0.646789501,0.510273633,0.488590465,0.470191185,0.566875086,0.361741849,0.347065388,0.479196215,0.448833253,0.129295508,58,0.784224285,0.757712116,0.752899162,0.75754559,0.749664881,0.760774006,0.747608225,0.767312577,0.767377554,0.771380832,0.761649923,0.010581442,-8.599406073,-7.926946519,-6.272668792,-8.202971798,-8.245283312,-8.158360585,-7.32841933,-11.60561252,-8.946425309,-8.425904568,-8.371199881,1.289396036,138,-5.446888141,-5.690687116,-5.894704226,-5.703497319,-5.876346129,-5.588281165,-5.908002557,-5.37526364,-5.596453026,-5.467028348,-5.654715167,0.184082247
