,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,METAL
0,1328,119,5,5,10,8049,P,1933,1919 - 1945,37.5
2,915,95,1,4,11,8050,P,1933,1919 - 1945,28.85
5,1658,160,6,5,9,8047,P,1941,1919 - 1945,68.18
6,1745,160,6,5,9,8047,P,1941,1919 - 1945,30.0
7,579,80,1,4,9,8048,M,1937,1919 - 1945,5.0
8,1804,143,4,5,11,8057,P,1906,1900 - 1919,104.9
10,1735,161,6,5,9,8048,P,1942,1919 - 1945,2.52
11,1705,161,6,5,9,8048,P,1942,1919 - 1945,2.48
12,876,113,5,4,7,8053,P,1965,1961 - 1970,68.99
13,589,76,2,4,7,8053,P,1965,1961 - 1970,46.39
15,619,72,3,4,11,8050,P,1929,1919 - 1945,2.87
16,936,103,3,4,11,8050,P,1929,1919 - 1945,4.26
17,431,65,1,4,11,8050,P,1939,1919 - 1945,1.0
18,1957,224,8,5,11,8052,F,1961,1961 - 1970,157.34
19,1520,154,3,5,9,8048,M,1929,1919 - 1945,30.0
20,456,68,1,4,3,8045,M,1939,1919 - 1945,68.18
31,2006,183,7,6,7,8032,P,1945,1919 - 1945,34.75
33,2681,245,6,5,7,8032,P,1945,1919 - 1945,46.44
34,1218,90,3,5,6,8057,P,1921,1919 - 1945,0.05
35,1444,113,4,5,6,8057,P,1921,1919 - 1945,0.05
36,1744,174,6,5,11,8052,P,1950,1946 - 1960,14.36
37,1942,174,6,5,11,8052,P,1950,1946 - 1960,15.99
38,1863,179,6,5,11,8052,P,1950,1946 - 1960,15.34
39,1738,180,6,5,11,8052,P,1950,1946 - 1960,14.31
40,434,59,1,4,11,8052,P,1949,1946 - 1960,4.01
41,382,52,1,4,11,8052,P,1949,1946 - 1960,3.53
42,382,52,1,4,11,8052,P,1949,1946 - 1960,3.53
43,382,52,1,4,11,8052,P,1949,1946 - 1960,3.53
44,382,52,1,4,11,8052,P,1949,1946 - 1960,3.53
45,382,52,1,4,11,8052,P,1949,1946 - 1960,3.53
46,382,52,1,4,11,8052,P,1949,1946 - 1960,3.53
47,397,54,1,4,11,8052,P,1949,1946 - 1960,3.67
48,1841,170,6,5,11,8052,P,1949,1946 - 1960,17.0
49,1819,168,6,5,11,8052,P,1949,1946 - 1960,16.8
50,1819,168,6,5,11,8052,P,1949,1946 - 1960,16.8
51,1851,171,6,5,11,8052,P,1949,1946 - 1960,17.09
52,1828,170,6,5,11,8052,P,1949,1946 - 1960,16.88
53,1827,170,6,5,11,8052,P,1949,1946 - 1960,16.87
54,2227,171,6,5,11,8052,P,1949,1946 - 1960,20.56
55,2227,171,6,5,11,8052,P,1949,1946 - 1960,20.56
56,3217,247,9,5,11,8052,P,1960,1946 - 1960,29.71
57,1869,171,6,5,11,8052,P,1949,1946 - 1960,17.26
58,1859,170,6,5,11,8052,P,1949,1946 - 1960,17.17
59,1837,168,9,5,11,8052,P,1960,1946 - 1960,16.96
60,1833,170,6,5,11,8052,P,1949,1946 - 1960,16.93
61,1822,169,6,5,11,8052,P,1949,1946 - 1960,16.82
62,1839,170,6,5,11,8052,P,1949,1946 - 1960,16.98
63,1828,169,6,5,11,8052,P,1949,1946 - 1960,16.88
64,1028,95,6,5,11,8052,P,1960,1946 - 1960,9.49
65,1827,170,6,5,11,8052,P,1949,1946 - 1960,16.87
66,1828,170,6,5,11,8052,P,1949,1946 - 1960,16.88
67,392,53,1,4,11,8052,P,1949,1946 - 1960,3.62
68,385,52,1,4,11,8052,P,1949,1946 - 1960,3.56
69,385,52,1,4,11,8052,P,1949,1946 - 1960,3.56
70,385,52,1,4,11,8052,P,1949,1946 - 1960,3.56
71,430,58,1,4,11,8052,P,1949,1946 - 1960,3.97
72,393,53,1,4,11,8052,P,1949,1946 - 1960,3.63
73,386,52,1,4,11,8052,P,1949,1946 - 1960,3.56
74,386,52,1,4,11,8052,P,1949,1946 - 1960,3.56
75,430,58,1,4,11,8052,P,1949,1946 - 1960,3.97
76,397,54,1,4,11,8052,P,1949,1946 - 1960,3.67
79,2707,224,6,4,3,8055,F,1968,1961 - 1970,5.0
83,810,118,1,4,9,8055,P,1936,1919 - 1945,45.0
85,1811,189,3,5,6,8057,F,1931,1919 - 1945,6.98
88,348,109,1,2,7,8053,P,1960,1946 - 1960,45.08
92,1425,130,6,5,2,8038,P,1931,1919 - 1945,37.1
93,1634,150,6,4,2,8038,P,1931,1919 - 1945,42.54
94,1656,152,6,4,2,8038,P,1931,1919 - 1945,43.11
95,1995,182,6,5,2,8038,P,1931,1919 - 1945,51.94
96,1685,150,6,5,2,8038,P,1931,1919 - 1945,43.87
97,1685,150,6,5,2,8038,P,1931,1919 - 1945,43.87
98,1995,180,6,5,2,8038,P,1931,1919 - 1945,51.94
99,1651,150,6,5,2,8038,P,1931,1919 - 1945,42.98
100,1639,149,6,5,2,8038,P,1931,1919 - 1945,42.67
102,543,70,1,4,11,8050,P,1926,1919 - 1945,0.3
107,2000,205,9,5,3,8055,P,1960,1946 - 1960,27.16
108,2099,204,9,5,3,8055,P,1960,1946 - 1960,28.5
109,2223,203,9,5,3,8055,P,1960,1946 - 1960,30.18
111,1866,174,9,5,3,8055,P,1960,1946 - 1960,25.34
112,1796,174,9,5,3,8055,P,1960,1946 - 1960,24.39
113,850,123,1,4,7,8053,P,1937,1919 - 1945,7.5
114,3250,183,10,7,4,8004,P,1931,1919 - 1945,142.34
116,2420,168,8,6,4,8004,P,1931,1919 - 1945,105.99
117,2590,181,8,6,4,8004,P,1931,1919 - 1945,113.43
118,2420,168,8,6,4,8004,P,1931,1919 - 1945,105.99
119,2490,168,8,6,4,8004,P,1931,1919 - 1945,109.05
120,3030,204,8,6,4,8004,P,1931,1919 - 1945,132.7
121,1580,133,6,5,4,8004,P,1909,1900 - 1919,69.2
122,3030,205,8,6,4,8004,P,1932,1919 - 1945,132.7
123,2510,170,8,6,4,8004,P,1932,1919 - 1945,109.93
124,2510,170,8,6,4,8004,P,1932,1919 - 1945,109.93
125,2680,181,8,6,4,8004,P,1932,1919 - 1945,117.37
126,2540,170,7,6,4,8004,P,1932,1919 - 1945,111.24
127,2540,170,8,6,4,8004,P,1933,1919 - 1945,111.24
128,3040,201,8,6,4,8004,P,1933,1919 - 1945,133.14
129,2720,172,8,6,4,8004,P,1933,1919 - 1945,119.12
130,3445,199,10,7,4,8004,P,1931,1919 - 1945,150.88
131,3130,182,10,7,4,8004,P,1931,1919 - 1945,137.08
133,3155,181,10,7,4,8004,P,1931,1919 - 1945,138.18
134,3090,205,8,6,4,8004,P,1933,1919 - 1945,135.33
135,3090,205,8,6,4,8004,P,1933,1919 - 1945,135.33
136,3090,206,8,6,4,8004,P,1933,1919 - 1945,135.33
137,2780,185,8,6,4,8004,P,1933,1919 - 1945,121.75
142,981,87,1,4,7,8053,P,1928,1919 - 1945,75.0
143,1664,181,5,5,2,8002,P,1953,1946 - 1960,67.79
144,2018,205,8,6,2,8002,P,1953,1946 - 1960,82.21
145,640,109,1,3,8,8008,P,1939,1919 - 1945,3.89
146,676,108,1,3,8,8008,P,1940,1919 - 1945,4.11
147,2008,224,5,5,9,8048,P,1945,1919 - 1945,7.5
148,1343,143,6,5,2,8038,P,1949,1946 - 1960,2.06
149,1430,148,3,5,9,8048,P,1907,1900 - 1919,92.31
151,1661,170,6,5,9,8048,P,1948,1946 - 1960,47.29
152,1644,169,6,5,9,8048,P,1948,1946 - 1960,46.8
153,1734,170,6,5,9,8048,P,1948,1946 - 1960,49.37
154,1986,194,6,5,9,8048,P,1948,1946 - 1960,56.54
161,622,95,1,3,9,8047,F,1950,1946 - 1960,3.89
162,697,88,2,4,12,8051,P,1904,1900 - 1919,34.62
172,548,63,2,5,6,8006,O,1919,1919 - 1945,1.02
173,1480,104,3,5,9,8048,P,1927,1919 - 1945,120.09
174,505,70,1,4,9,8048,P,1928,1919 - 1945,42.94
176,1415,130,2,4,3,8055,P,1923,1919 - 1945,28.85
179,3192,258,12,6,3,8045,P,1946,1946 - 1960,20.0
181,760,70,1,4,3,8045,P,1927,1919 - 1945,3.0
182,416,59,1,4,11,8052,P,1936,1919 - 1945,15.73
183,589,70,3,4,11,8050,P,1918,1900 - 1919,7.62
184,589,70,1,4,11,8050,P,1918,1900 - 1919,7.62
187,1199,136,1,4,7,8044,P,1925,1919 - 1945,5.77
188,703,113,1,4,7,8053,P,1948,1946 - 1960,1.0
189,1339,149,6,5,7,8044,P,1951,1946 - 1960,15.0
190,2297,175,8,6,7,8032,O,1930,1919 - 1945,107.62
191,2451,176,11,6,7,8032,O,1930,1919 - 1945,114.69
192,2434,175,10,6,7,8032,O,1930,1919 - 1945,113.91
193,2352,174,8,6,7,8032,O,1930,1919 - 1945,110.15
194,2550,173,10,6,7,8032,O,1930,1919 - 1945,119.23
195,226,69,2,1,6,8057,P,1948,1946 - 1960,1.45
196,1729,165,6,5,6,8057,P,1948,1946 - 1960,11.12
197,1431,149,6,5,6,8057,P,1948,1946 - 1960,9.2
198,1721,165,6,5,6,8057,P,1948,1946 - 1960,11.06
199,1488,149,6,5,6,8057,P,1948,1946 - 1960,9.57
200,1720,166,6,5,6,8057,P,1948,1946 - 1960,11.06
201,1490,148,6,5,6,8057,P,1948,1946 - 1960,9.58
202,993,98,3,5,6,8057,P,1948,1946 - 1960,6.38
203,1523,150,6,5,6,8057,P,1947,1946 - 1960,9.79
204,1490,150,6,5,6,8057,P,1947,1946 - 1960,9.58
205,1110,151,4,4,6,8057,P,1947,1946 - 1960,7.14
206,1512,150,6,5,6,8057,P,1947,1946 - 1960,9.72
207,1496,149,6,5,6,8057,P,1947,1946 - 1960,9.62
208,1110,151,4,4,6,8057,P,1947,1946 - 1960,7.14
209,1454,151,6,5,6,8057,P,1946,1946 - 1960,9.35
210,1421,149,6,4,6,8057,P,1946,1946 - 1960,9.14
211,1417,149,6,4,6,8057,P,1946,1946 - 1960,9.11
213,967,108,1,5,10,8049,P,1931,1919 - 1945,13.0
215,2240,208,9,5,9,8047,P,1940,1919 - 1945,0.9
216,2077,193,9,5,3,8055,P,1942,1919 - 1945,20.0
218,1142,158,3,3,6,8057,M,1928,1919 - 1945,10.0
219,730,111,1,3,9,8055,P,1933,1919 - 1945,35.0
223,534,115,1,4,7,8053,P,1951,1946 - 1960,2.31
226,1430,211,1,2,2,8002,P,1926,1919 - 1945,77.91
229,593,70,1,4,9,8048,P,1912,1900 - 1919,115.38
230,1089,169,1,4,7,8044,P,1950,1946 - 1960,0.83
231,1748,134,1,5,7,8044,P,1928,1919 - 1945,6.82
232,777,91,1,4,6,8006,O,1925,1919 - 1945,1.16
233,563,66,1,4,6,8006,O,1925,1919 - 1945,0.84
235,1343,178,2,4,10,8049,M,1929,1919 - 1945,1.0
238,971,117,1,4,9,8048,M,1930,1919 - 1945,6.0
239,530,84,1,3,7,8053,P,1952,1946 - 1960,15.0
241,750,87,1,4,9,8048,P,1926,1919 - 1945,13.64
243,1705,166,6,5,9,8048,P,1951,1946 - 1960,5.0
248,1850,205,12,6,6,8006,P,1937,1919 - 1945,6.0
257,743,120,2,4,11,8050,M,1920,1919 - 1945,5.0
258,850,141,1,3,2,8038,P,1931,1919 - 1945,8.0
259,1270,146,1,3,11,8050,P,1909,1900 - 1919,23.4
260,1253,171,1,4,11,8050,M,1938,1919 - 1945,11.54
261,1807,159,11,5,11,8050,P,1939,1919 - 1945,110.48
262,1873,158,6,5,11,8050,P,1939,1919 - 1945,114.52
265,424,98,1,2,11,8050,F,1906,1900 - 1919,10.45
271,882,135,1,4,10,8049,P,1934,1919 - 1945,37.5
272,615,83,1,4,10,8049,P,1933,1919 - 1945,75.0
273,1600,191,5,5,10,8049,P,1951,1946 - 1960,4.62
274,1259,161,4,4,11,8046,P,1957,1946 - 1960,84.68
275,1516,157,6,5,11,8046,P,1957,1946 - 1960,101.96
276,1460,156,6,4,11,8046,P,1957,1946 - 1960,98.2
277,802,115,2,3,11,8046,P,1957,1946 - 1960,53.94
278,1256,160,4,4,11,8046,P,1957,1946 - 1960,84.48
279,1796,187,6,5,11,8046,P,1956,1946 - 1960,120.79
280,1763,186,6,5,11,8046,P,1956,1946 - 1960,118.58
281,1345,187,4,4,11,8046,P,1956,1946 - 1960,90.46
282,1306,187,4,4,11,8046,P,1956,1946 - 1960,87.84
283,1145,162,4,4,11,8046,P,1956,1946 - 1960,77.01
284,1350,144,6,5,11,8046,P,1956,1946 - 1960,90.8
285,1357,145,6,4,11,8046,P,1956,1946 - 1960,91.27
