,VOL,AREA_F,APT_NUM,ST_NUM,KREIS,ZIPCODE,ROOF,YOC,POC,WOOD
0,1328,119,5,5,10,8049,P,1933,1919 - 1945,4.38
1,1016,109,5,4,10,8049,P,1938,1919 - 1945,34.2
2,915,95,1,4,11,8050,P,1933,1919 - 1945,35.08
5,1658,160,6,5,9,8047,P,1941,1919 - 1945,36.27
6,1745,160,6,5,9,8047,P,1941,1919 - 1945,5.7
7,579,80,1,4,9,8048,M,1937,1919 - 1945,40.0
8,1804,143,4,5,11,8057,P,1906,1900 - 1919,19.93
10,1735,161,6,5,9,8048,P,1942,1919 - 1945,22.11
11,1705,161,6,5,9,8048,P,1942,1919 - 1945,21.73
15,619,72,3,4,11,8050,P,1929,1919 - 1945,10.91
16,936,103,3,4,11,8050,P,1929,1919 - 1945,16.18
17,431,65,1,4,11,8050,P,1939,1919 - 1945,10.0
18,1957,224,8,5,11,8052,F,1961,1961 - 1970,11.96
19,1520,154,3,5,9,8048,M,1929,1919 - 1945,11.4
20,456,68,1,4,3,8045,M,1939,1919 - 1945,10.36
21,667,80,1,4,9,8048,P,1939,1919 - 1945,22.8
22,1376,138,3,5,10,8049,P,1949,1946 - 1960,41.34
23,2258,213,6,5,10,8049,P,1949,1946 - 1960,67.84
27,351,51,1,4,9,8048,P,1947,1946 - 1960,8.41
28,381,50,1,4,9,8048,P,1947,1946 - 1960,9.13
29,2386,216,12,5,3,8003,P,1938,1919 - 1945,20.0
31,2006,183,7,6,7,8032,P,1945,1919 - 1945,59.42
34,1218,90,3,5,6,8057,P,1921,1919 - 1945,5.48
35,1444,113,4,5,6,8057,P,1921,1919 - 1945,6.49
36,1744,174,6,5,11,8052,P,1950,1946 - 1960,44.28
37,1942,174,6,5,11,8052,P,1950,1946 - 1960,49.3
38,1863,179,6,5,11,8052,P,1950,1946 - 1960,47.3
39,1738,180,6,5,11,8052,P,1950,1946 - 1960,44.12
40,434,59,1,4,11,8052,P,1949,1946 - 1960,1.46
41,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29
42,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29
43,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29
44,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29
45,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29
46,382,52,1,4,11,8052,P,1949,1946 - 1960,1.29
47,397,54,1,4,11,8052,P,1949,1946 - 1960,1.34
48,1841,170,6,5,11,8052,P,1949,1946 - 1960,6.2
49,1819,168,6,5,11,8052,P,1949,1946 - 1960,6.13
50,1819,168,6,5,11,8052,P,1949,1946 - 1960,6.13
51,1851,171,6,5,11,8052,P,1949,1946 - 1960,6.24
52,1828,170,6,5,11,8052,P,1949,1946 - 1960,6.16
53,1827,170,6,5,11,8052,P,1949,1946 - 1960,6.16
54,2227,171,6,5,11,8052,P,1949,1946 - 1960,7.51
55,2227,171,6,5,11,8052,P,1949,1946 - 1960,7.51
56,3217,247,9,5,11,8052,P,1960,1946 - 1960,10.84
57,1869,171,6,5,11,8052,P,1949,1946 - 1960,6.3
58,1859,170,6,5,11,8052,P,1949,1946 - 1960,6.27
59,1837,168,9,5,11,8052,P,1960,1946 - 1960,6.19
60,1833,170,6,5,11,8052,P,1949,1946 - 1960,6.18
61,1822,169,6,5,11,8052,P,1949,1946 - 1960,6.14
62,1839,170,6,5,11,8052,P,1949,1946 - 1960,6.2
63,1828,169,6,5,11,8052,P,1949,1946 - 1960,6.16
64,1028,95,6,5,11,8052,P,1960,1946 - 1960,3.46
65,1827,170,6,5,11,8052,P,1949,1946 - 1960,6.16
66,1828,170,6,5,11,8052,P,1949,1946 - 1960,6.16
67,392,53,1,4,11,8052,P,1949,1946 - 1960,1.32
68,385,52,1,4,11,8052,P,1949,1946 - 1960,1.3
69,385,52,1,4,11,8052,P,1949,1946 - 1960,1.3
70,385,52,1,4,11,8052,P,1949,1946 - 1960,1.3
71,430,58,1,4,11,8052,P,1949,1946 - 1960,1.45
72,393,53,1,4,11,8052,P,1949,1946 - 1960,1.32
73,386,52,1,4,11,8052,P,1949,1946 - 1960,1.3
74,386,52,1,4,11,8052,P,1949,1946 - 1960,1.3
75,430,58,1,4,11,8052,P,1949,1946 - 1960,1.45
76,397,54,1,4,11,8052,P,1949,1946 - 1960,1.34
79,2707,224,6,4,3,8055,F,1968,1961 - 1970,2.0
83,810,118,1,4,9,8055,P,1936,1919 - 1945,75.24
85,1811,189,3,5,6,8057,F,1931,1919 - 1945,7.96
88,348,109,1,2,7,8053,P,1960,1946 - 1960,7.99
89,2567,247,9,6,7,8053,P,1960,1946 - 1960,58.97
90,2597,246,9,6,7,8053,P,1960,1946 - 1960,59.66
92,1425,130,6,5,2,8038,P,1931,1919 - 1945,13.54
93,1634,150,6,4,2,8038,P,1931,1919 - 1945,15.53
94,1656,152,6,4,2,8038,P,1931,1919 - 1945,15.74
95,1995,182,6,5,2,8038,P,1931,1919 - 1945,18.96
96,1685,150,6,5,2,8038,P,1931,1919 - 1945,16.01
97,1685,150,6,5,2,8038,P,1931,1919 - 1945,16.01
98,1995,180,6,5,2,8038,P,1931,1919 - 1945,18.96
99,1651,150,6,5,2,8038,P,1931,1919 - 1945,15.69
100,1639,149,6,5,2,8038,P,1931,1919 - 1945,15.57
101,2260,204,1,5,7,8032,M,1945,1919 - 1945,52.62
106,493,110,1,3,9,8048,P,1943,1919 - 1945,2.19
107,2000,205,9,5,3,8055,P,1960,1946 - 1960,25.8
108,2099,204,9,5,3,8055,P,1960,1946 - 1960,27.07
109,2223,203,9,5,3,8055,P,1960,1946 - 1960,28.67
111,1866,174,9,5,3,8055,P,1960,1946 - 1960,24.07
112,1796,174,9,5,3,8055,P,1960,1946 - 1960,23.17
113,850,123,1,4,7,8053,P,1937,1919 - 1945,5.7
114,3250,183,10,7,4,8004,P,1931,1919 - 1945,37.86
116,2420,168,8,6,4,8004,P,1931,1919 - 1945,28.19
117,2590,181,8,6,4,8004,P,1931,1919 - 1945,30.17
118,2420,168,8,6,4,8004,P,1931,1919 - 1945,28.19
119,2490,168,8,6,4,8004,P,1931,1919 - 1945,29.01
120,3030,204,8,6,4,8004,P,1931,1919 - 1945,35.3
121,1580,133,6,5,4,8004,P,1909,1900 - 1919,18.41
122,3030,205,8,6,4,8004,P,1932,1919 - 1945,35.3
123,2510,170,8,6,4,8004,P,1932,1919 - 1945,29.24
124,2510,170,8,6,4,8004,P,1932,1919 - 1945,29.24
125,2680,181,8,6,4,8004,P,1932,1919 - 1945,31.22
126,2540,170,7,6,4,8004,P,1932,1919 - 1945,29.59
127,2540,170,8,6,4,8004,P,1933,1919 - 1945,29.59
128,3040,201,8,6,4,8004,P,1933,1919 - 1945,35.41
129,2720,172,8,6,4,8004,P,1933,1919 - 1945,31.69
130,3445,199,10,7,4,8004,P,1931,1919 - 1945,40.13
131,3130,182,10,7,4,8004,P,1931,1919 - 1945,36.46
132,3570,205,10,7,4,8004,P,1931,1919 - 1945,41.59
133,3155,181,10,7,4,8004,P,1931,1919 - 1945,36.75
134,3090,205,8,6,4,8004,P,1933,1919 - 1945,36.0
135,3090,205,8,6,4,8004,P,1933,1919 - 1945,36.0
136,3090,206,8,6,4,8004,P,1933,1919 - 1945,36.0
137,2780,185,8,6,4,8004,P,1933,1919 - 1945,32.39
138,481,68,1,4,11,8052,P,1938,1919 - 1945,4.26
139,608,120,1,4,11,8052,M,1938,1919 - 1945,5.27
142,981,87,1,4,7,8053,P,1928,1919 - 1945,8.55
143,1664,181,5,5,2,8002,P,1953,1946 - 1960,51.52
144,2018,205,8,6,2,8002,P,1953,1946 - 1960,62.48
145,640,109,1,3,8,8008,P,1939,1919 - 1945,5.84
146,676,108,1,3,8,8008,P,1940,1919 - 1945,6.16
147,2008,224,5,5,9,8048,P,1945,1919 - 1945,7.41
151,1661,170,6,5,9,8048,P,1948,1946 - 1960,61.0
152,1644,169,6,5,9,8048,P,1948,1946 - 1960,60.38
153,1734,170,6,5,9,8048,P,1948,1946 - 1960,63.68
154,1986,194,6,5,9,8048,P,1948,1946 - 1960,72.94
156,547,94,1,3,9,8048,P,1942,1919 - 1945,2.02
161,622,95,1,3,9,8047,F,1950,1946 - 1960,3.89
172,548,63,2,5,6,8006,O,1919,1919 - 1945,7.0
173,1480,104,3,5,9,8048,P,1927,1919 - 1945,60.85
174,505,70,1,4,9,8048,P,1928,1919 - 1945,21.76
175,2260,177,8,5,7,8044,P,1934,1919 - 1945,15.55
176,1415,130,2,4,3,8055,P,1923,1919 - 1945,17.54
181,760,70,1,4,3,8045,P,1927,1919 - 1945,8.77
182,416,59,1,4,11,8052,P,1936,1919 - 1945,11.96
185,2310,216,4,6,9,8048,P,1929,1919 - 1945,26.31
187,1199,136,1,4,7,8044,P,1925,1919 - 1945,17.54
188,703,113,1,4,7,8053,P,1948,1946 - 1960,17.1
189,1339,149,6,5,7,8044,P,1951,1946 - 1960,7.41
190,2297,175,8,6,7,8032,O,1930,1919 - 1945,40.9
191,2451,176,11,6,7,8032,O,1930,1919 - 1945,43.58
192,2434,175,10,6,7,8032,O,1930,1919 - 1945,43.29
193,2352,174,8,6,7,8032,O,1930,1919 - 1945,41.86
194,2550,173,10,6,7,8032,O,1930,1919 - 1945,45.31
195,226,69,2,1,6,8057,P,1948,1946 - 1960,0.77
196,1729,165,6,5,6,8057,P,1948,1946 - 1960,5.91
197,1431,149,6,5,6,8057,P,1948,1946 - 1960,4.89
198,1721,165,6,5,6,8057,P,1948,1946 - 1960,5.89
199,1488,149,6,5,6,8057,P,1948,1946 - 1960,5.09
200,1720,166,6,5,6,8057,P,1948,1946 - 1960,5.88
201,1490,148,6,5,6,8057,P,1948,1946 - 1960,5.1
202,993,98,3,5,6,8057,P,1948,1946 - 1960,3.4
203,1523,150,6,5,6,8057,P,1947,1946 - 1960,5.21
204,1490,150,6,5,6,8057,P,1947,1946 - 1960,5.1
205,1110,151,4,4,6,8057,P,1947,1946 - 1960,3.8
